n_features,features,silhouette,jacs_score,combined,k,best_cluster,best_n_good,best_n_jacs
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'ESM2_848', 'AAC_G')",0.3160492893162923,1.5,0.6712345025214046,2,1,89,90
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_82')",0.31271532930694057,1.5,0.6689007305148583,2,0,89,91
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_406')",0.311807230718007,1.5,0.6682650615026049,3,2,86,86
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'ESM2_3', 'AAC_G')",0.3115794415287733,1.5,0.6681056090701413,3,1,88,88
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_276')",0.3057695761238972,1.5,0.664038703286728,2,1,88,90
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'InterPLM_esm2-650m_L24_mean_1917', 'AAC_G')",0.3044708747837084,1.5,0.6631296123485958,3,0,87,87
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'InterPLM_esm2-650m_L24_mean_1917', 'InterPLM_esm2-650m_L24_mean_7025', 'AAC_G')",0.30336139243193794,1.5,0.6623529747023564,3,2,88,88
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_574')",0.3021327192004209,1.5,0.6614929034402945,3,2,89,89
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'InterPLM_esm2-650m_L24_mean_7025', 'AAC_G')",0.30168129247006154,1.5,0.661176904729043,3,1,86,86
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'ESM2_3', 'AAC_G')",0.3013620768564441,1.5,0.6609534537995108,3,1,84,84
